iter	Passed	Remaining
0	20	4106
1	38	3770
2	58	3808
3	93	4563
4	115	4520
5	135	4370
6	157	4345
7	176	4242
8	194	4119
9	212	4043
10	230	3957
11	247	3875
12	266	3836
13	285	3786
14	303	3746
15	321	3702
16	339	3654
17	357	3619
18	375	3578
19	393	3537
20	410	3499
21	429	3474
22	446	3435
23	463	3397
24	482	3379
25	499	3344
26	516	3310
27	534	3282
28	552	3257
29	570	3230
30	588	3206
31	605	3178
32	623	3153
33	640	3127
34	658	3104
35	675	3077
36	693	3056
37	711	3033
38	728	3007
39	745	2983
40	763	2961
41	781	2940
42	800	2921
43	819	2903
44	835	2879
45	853	2856
46	869	2831
47	887	2809
48	905	2790
49	921	2764
50	938	2742
51	956	2721
52	972	2696
53	988	2672
54	1004	2649
55	1021	2627
56	1038	2604
57	1054	2581
58	1071	2559
59	1086	2534
60	1102	2512
61	1118	2490
62	1137	2473
63	1152	2448
64	1170	2430
65	1187	2410
66	1203	2389
67	1218	2366
68	1234	2343
69	1250	2322
70	1268	2304
71	1286	2286
72	1301	2263
73	1316	2242
74	1333	2222
75	1349	2201
76	1366	2183
77	1381	2161
78	1398	2142
79	1415	2122
80	1430	2101
81	1446	2081
82	1461	2059
83	1477	2040
84	1493	2020
85	1509	2001
86	1524	1980
87	1541	1961
88	1556	1941
89	1572	1922
90	1587	1901
91	1602	1881
92	1619	1863
93	1636	1845
94	1653	1827
95	1669	1808
96	1687	1791
97	1703	1772
98	1721	1755
99	1736	1736
100	1753	1718
101	1769	1699
102	1786	1682
103	1805	1666
104	1821	1648
105	1839	1631
106	1856	1613
107	1874	1596
108	1890	1578
109	1906	1559
110	1924	1542
111	1943	1526
112	1959	1508
113	1975	1490
114	1995	1474
115	2012	1457
116	2030	1440
117	2046	1422
118	2063	1404
119	2079	1386
120	2096	1368
121	2114	1351
122	2130	1333
123	2146	1315
124	2164	1298
125	2181	1281
126	2197	1263
127	2213	1245
128	2229	1227
129	2246	1209
130	2261	1191
131	2277	1173
132	2294	1156
133	2311	1138
134	2325	1119
135	2340	1101
136	2354	1082
137	2370	1065
138	2386	1047
139	2401	1029
140	2416	1011
141	2431	993
142	2449	976
143	2466	959
144	2483	942
145	2498	924
146	2512	905
147	2526	887
148	2542	870
149	2559	853
150	2574	835
151	2592	818
152	2608	801
153	2624	784
154	2640	766
155	2658	749
156	2675	732
157	2693	716
158	2709	698
159	2724	681
160	2740	663
161	2755	646
162	2771	629
163	2787	611
164	2803	594
165	2819	577
166	2836	560
167	2853	543
168	2871	526
169	2893	510
170	2911	493
171	2930	477
172	2954	461
173	2979	445
174	2997	428
175	3019	411
176	3041	395
177	3062	378
178	3080	361
179	3097	344
180	3118	327
181	3137	310
182	3159	293
183	3178	276
184	3197	259
185	3214	241
186	3231	224
187	3248	207
188	3264	190
189	3280	172
190	3294	155
191	3311	137
192	3325	120
193	3342	103
194	3358	86
195	3376	68
196	3392	51
197	3406	34
198	3424	17
199	3440	0
