Model,Class,Precision,Recall,F1,Accuracy
Random Forest,Diesel,0.988796966563254,0.9920456510461698,0.9904186447993094,0.9881963139366329
Random Forest,Electric,0.0,0.0,0.0,0.9881963139366329
Random Forest,Hybrid,0.9515050167224081,0.9793459552495697,0.9652247667514843,0.9881963139366329
Random Forest,Other,0.36666666666666664,0.22916666666666666,0.28205128205128205,0.9881963139366329
Random Forest,Petrol,0.9928012908030284,0.9907109239534307,0.9917550058892816,0.9881963139366329
Random Forest,Macro Avg,0.6599539881510714,0.6382538393831674,0.6458899398982714,0.9881963139366329
Logistic Regression,Diesel,0.9287622439893143,0.9017810824831403,0.9150728197929461,0.8796162076344308
Logistic Regression,Electric,0.0,0.0,0.0,0.8796162076344308
Logistic Regression,Hybrid,0.7369165487977369,0.8967297762478486,0.8090062111801242,0.8796162076344308
Logistic Regression,Other,0.029508196721311476,0.5625,0.056074766355140186,0.8796162076344308
Logistic Regression,Petrol,0.9634230503795721,0.8645033440673767,0.9112866375089758,0.8796162076344308
Logistic Regression,Macro Avg,0.5317220079775871,0.6451028405596732,0.5382880869674372,0.8796162076344308
Neural Network,Diesel,0.9870266479663394,0.9735431436970431,0.9802385305127536,0.9730793124870574
Neural Network,Electric,0.0,0.0,0.0,0.9730793124870574
Neural Network,Hybrid,0.8892405063291139,0.9672977624784854,0.9266281945589447,0.9730793124870574
Neural Network,Other,0.12413793103448276,0.375,0.18652849740932642,0.9730793124870574
Neural Network,Petrol,0.9853823088455772,0.9768392370572208,0.9810921756437367,0.9730793124870574
Neural Network,Macro Avg,0.5971574788351026,0.6585360286465498,0.6148974796249523,0.9730793124870574
CatBoost,Diesel,0.9481608212147135,0.9583261283071071,0.9532163742690059,0.9413957341064403
CatBoost,Electric,0.0,0.0,0.0,0.9413957341064403
CatBoost,Hybrid,0.9413793103448276,0.9397590361445783,0.9405684754521964,0.9413957341064403
CatBoost,Other,0.06084656084656084,0.4791666666666667,0.107981220657277,0.9413957341064403
CatBoost,Petrol,0.9807166123778501,0.9322516720336884,0.9558702139818401,0.9413957341064403
CatBoost,Macro Avg,0.5862206609567904,0.6619007006304081,0.5915272568720639,0.9413957341064403
Stacking Ensemble,Diesel,0.9908399585205668,0.9913539685284455,0.991096896879592,0.9886104783599089
Stacking Ensemble,Electric,0.0,0.0,0.0,0.9886104783599089
Stacking Ensemble,Hybrid,0.9513422818791947,0.9759036144578314,0.9634664401019541,0.9886104783599089
Stacking Ensemble,Other,0.3548387096774194,0.22916666666666666,0.27848101265822783,0.9886104783599089
Stacking Ensemble,Petrol,0.9924430128840436,0.9921971761208819,0.992320079276601,0.9886104783599089
Stacking Ensemble,Macro Avg,0.6578927925922449,0.6377242851547651,0.645072885783275,0.9886104783599089
